Date,Omellette
01-10-2014,15
02-10-2014,7
03-10-2014,8
04-10-2014,10
05-10-2014,13
06-10-2014,5
07-10-2014,12
08-10-2014,12
09-10-2014,13
10-10-2014,13
11-10-2014,13
12-10-2014,14
13-10-2014,12
14-10-2014,13
15-10-2014,12
16-10-2014,13
17-10-2014,12
18-10-2014,20
19-10-2014,18
20-10-2014,21
21-10-2014,22
22-10-2014,21
23-10-2014,22
24-10-2014,21
25-10-2014,20
26-10-2014,22
27-10-2014,22
28-10-2014,18
29-10-2014,21
30-10-2014,21
31-10-2014,22
01-11-2014,22
02-11-2014,21
03-11-2014,21
04-11-2014,18
05-11-2014,22
06-11-2014,22
07-11-2014,20
08-11-2014,10
09-11-2014,12
10-11-2014,13
11-11-2014,12
12-11-2014,13
13-11-2014,13
14-11-2014,13
15-11-2014,12
16-11-2014,13
17-11-2014,12
18-11-2014,12
19-11-2014,12
20-11-2014,13
21-11-2014,14
22-11-2014,12
23-11-2014,20
24-11-2014,21
25-11-2014,21
26-11-2014,12
27-11-2014,13
28-11-2014,13
29-11-2014,22
30-11-2014,21
01-12-2014,6
02-12-2014,7
03-12-2014,6
04-12-2014,5
05-12-2014,7
06-12-2014,10
07-12-2014,12
08-12-2014,10
09-12-2014,10
10-12-2014,10
11-12-2014,7
12-12-2014,5
13-12-2014,12
14-12-2014,10
15-12-2014,10
16-12-2014,10
17-12-2014,10
18-12-2014,7
19-12-2014,12
20-12-2014,10
21-12-2014,10
22-12-2014,10
23-12-2014,10
24-12-2014,7
25-12-2014,5
26-12-2014,6
27-12-2014,10
28-12-2014,6
29-12-2014,7
30-12-2014,7
31-12-2014,7
01-01-2015,7
02-01-2015,8
03-01-2015,8
04-01-2015,10
05-01-2015,12
06-01-2015,13
07-01-2015,13
08-01-2015,20
09-01-2015,21
10-01-2015,21
11-01-2015,13
12-01-2015,13
13-01-2015,13
14-01-2015,12
15-01-2015,13
16-01-2015,12
17-01-2015,20
18-01-2015,10
19-01-2015,18
20-01-2015,22
21-01-2015,22
22-01-2015,21
23-01-2015,17
